Parent Name,Parent Artifact Type,Child Name,Child Artifact Type
Empower_WK.LN_CALC,RMO Table,Empower_WK.LN_CALC.APR,RMO Column
Empower_WK.LN_BORRINFO,RMO Table,Empower_WK.LN_BORRINFO.BORR_BIRTHDATE,RMO Column
Empower_WK.LN_BORRINFO,RMO Table,Empower_WK.LN_BORRINFO.BORR_DEPENDENTS,RMO Column
Empower_WK.LN_BORRINFO,RMO Table,Empower_WK.LN_BORRINFO.BORR_MARSTAT,RMO Column
Empower_WK.LN_BORRINFO,RMO Table,Empower_WK.LN_BORRINFO.BORR_NAME,RMO Column
Empower_WK.LN_BORRINFO,RMO Table,Empower_WK.LN_BORRINFO.BORR_PHONE,RMO Column
Empower_WK.LN_MTGTERMS,RMO Table,Empower_WK.LN_MTGTERMS.ASSESSED_VALUE,RMO Column
Empower_WK.LN_MTGTERMS,RMO Table,Empower_WK.LN_MTGTERMS.CONTRACTDATE,RMO Column
Empower_WK.LN_CALC,RMO Table,Empower_WK.LN_CALC.DATE1P,RMO Column
Empower_WK.LN_FLOOD,RMO Table,Empower_WK.LN_FLOOD.FLOODZONE,RMO Column
Empower_WK.LN_MTGTERMS,RMO Table,Empower_WK.LN_MTGTERMS.INTRATE,RMO Column
Empower_WK.LN_MTGTERMS,RMO Table,Empower_WK.LN_MTGTERMS.LOANTYPE,RMO Column
Empower_WK.LN_MTGTERMS,RMO Table,Empower_WK.LN_MTGTERMS.LOAN_NUM,RMO Column
Empower_WK.LN_MTGTERMS,RMO Table,Empower_WK.LN_MTGTERMS.MATURITYDATE,RMO Column
Empower_WK.LN_APPRAISAL_INFO,RMO Table,Empower_WK.LN_APPRAISAL_INFO.APPRAISED_VALUE,RMO Column
Empower_WK.LN_MTGTERMS,RMO Table,Empower_WK.LN_MTGTERMS.MIPUPFRONT,RMO Column
Empower_WK.LN_PROPINFO,RMO Table,Empower_WK.LN_PROPINFO.PROP_ADDR2,RMO Column
Empower_WK.LN_BORRINFO,RMO Table,Empower_WK.LN_BORRINFO.BORR_HOUSENUM,RMO Column
